Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,0.9,1.08,1.12,1.12,4.56,4.56,6.1,3.19,2.15,1.09,3.38,1.23,30.48
2001,1.21,1.33,1.09,7,4.53,6.35,2.12,2.31,3.5,1.28,2.77,0.74,34.23
2002,0.46,0.41,1.38,3.15,2.83,8.3,5.19,8.3,3.9,4.18,0.09,0.22,38.41
2003,0.22,0.54,1.44,2.4,6.14,4.66,2.05,1.12,2.2,0.62,0.71,0.62,22.72
2004,0.23,1.09,2.11,2.06,6.39,3.06,3.36,1.19,4.21,2.32,0.93,0.44,27.39
2005,1.21,0.96,1.37,2.3,2.78,4.24,2.94,5.22,4.44,5.45,1.53,0.97,33.41
2006,0.71,0.32,2.01,5.97,1.66,2.81,1.29,6.9,2.44,0.41,0.92,2.13,27.57
2007,0.31,1.37,3.64,1.11,1.99,2.05,3.29,9.32,6.04,3.63,0.09,1.48,34.32
2008,0.15,0.4,1.97,3.12,2.53,2.7,2.13,3.35,1.78,1.96,1.14,1.15,22.38
2009,0.57,0.93,1.5,1.57,0.53,2.86,2.17,6.43,0.46,5.57,0.38,1.83,24.8
2010,0.45,0.75,0.69,2.32,2.5,6.25,3.03,4.91,5.52,1.61,2.07,2.79,32.89
2011,1,1.12,2.06,2.8,4.04,5.28,5.23,3.03,0.36,0.7,0.3,0.99,26.91
2012,0.36,1.71,1.4,3.04,9.34,3.59,4.9,1.38,0.3,1.3,0.63,1.64,29.59
2013,0.86,1.33,2.04,5.22,6.24,5.17,3.51,2.07,1.35,3,0.52,1.46,32.77
2014,1.42,1.41,0.82,6.27,4.55,11.36,2.27,2.9,0.92,1.75,0.87,0.86,35.4
2015,0.34,0.35,0.67,2.42,3.55,4.4,7.32,2.99,4.65,2.61,4.52,2.32,36.14
2016,0.31,1.09,2.26,2.84,2.42,4.49,5.09,7.82,5.47,3.41,2.98,2.14,40.32
2017,0.98,0.64,0.68,4.45,4.8,4.23,3.12,6.75,1.04,4.49,0.39,0.79,32.36
2018,1.55,1.33,1.19,2.21,2.99,3.78,4.44,2.83,6.87,3.4,1.45,1.53,33.57
2019,0.45,2.57,2,3.91,6.68,2.72,6.48,6.28,3.92,4.05,2.28,1.83,43.17
2020,0.97,0.58,2.41,1.8,4.85,6.72,3.19,3.98,0.88,2.4,1.29,0.76,29.83
2021,0.87,0.52,2.82,2.5,3.28,2.06,0.87,6.88,1.48,1.88,0.85,1.95,25.96
