Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,38,61,73,78,89,94,93,91,89,84,66,35,94
2001,39,35,48,84,94,97,98,99,86,86,71,63,99
2002,49,51,53,91,91,97,95,89,92,75,66,48,97
2003,54,46,72,89,82,89,92,97,92,85,59,43,97
2004,36,48,66,91,88,95,95,86,88,78,67,51,95
2005,44,53,71,81,79,96,97,96,90,85,71,43,97
2006,48,43,56,84,97,91,101,88,83,84,72,50,101
2007,41,47,81,85,92,93,98,94,92,87,63,36,98
2008,43,38,52,77,84,90,94,89,88,78,74,41,94
2009,46,47,67,85,97,95,89,90,84,64,64,47,97
2010,36,38,76,81,95,91,94,96,80,87,69,42,96
2011,32,52,53,76,88,103,99,88,94,88,64,52,103
2012,52,46,80,75,93,93,102,93,95,78,69,55,102
2013,41,39,56,81,98,91,94,97,94,78,56,47,98
2014,40,44,60,74,87,85,92,89,86,72,56,51,92
2015,45,36,70,84,84,92,90,94,89,85,71,47,94
2016,43,58,70,80,92,96,97,91,84,76,73,43,97
2017,42,63,65,73,84,96,96,89,94,78,60,57,96
2018,47,47,52,84,100,99,95,92,92,79,51,46,100
2019,47,39,64,78,88,90,95,88,88,73,46,44,95
2020,38,46,61,74,81,96,93,92,85,80,75,52,96
2021,39,47,73,85,87,99,96,91,90,79,67,58,99
